0 0 1 Partition(array, row) 1 ALL_PAIRS
0 14 68 Partition(array, column) 1 ALL_PAIRS
0 14 77 Partition(array, column) 1 ALL_PAIRS
0 23 32 Partition(array, column) 1 ALL_PAIRS
0 23 41 Partition(array, column) 1 ALL_PAIRS
0 23 50 Partition(array, column) 1 ALL_PAIRS
0 23 59 Partition(array, column) 1 ALL_PAIRS
0 23 68 Partition(array, column) 1 ALL_PAIRS
0 23 77 Partition(array, column) 1 ALL_PAIRS
0 32 41 Partition(array, column) 1 ALL_PAIRS
0 32 50 Partition(array, column) 1 ALL_PAIRS
0 32 59 Partition(array, column) 1 ALL_PAIRS
0 32 68 Partition(array, column) 1 ALL_PAIRS
0 32 77 Partition(array, column) 1 ALL_PAIRS
0 41 50 Partition(array, column) 1 ALL_PAIRS
0 41 59 Partition(array, column) 1 ALL_PAIRS
0 41 68 Partition(array, column) 1 ALL_PAIRS
0 41 77 Partition(array, column) 1 ALL_PAIRS
0 50 59 Partition(array, column) 1 ALL_PAIRS
0 50 68 Partition(array, column) 1 ALL_PAIRS
0 50 77 Partition(array, column) 1 ALL_PAIRS
0 59 68 Partition(array, column) 1 ALL_PAIRS
0 59 77 Partition(array, column) 1 ALL_PAIRS
0 68 77 Partition(array, column) 1 ALL_PAIRS
0 6 15 Partition(array, column) 1 ALL_PAIRS
0 6 24 Partition(array, column) 1 ALL_PAIRS
0 6 33 Partition(array, column) 1 ALL_PAIRS
0 6 42 Partition(array, column) 1 ALL_PAIRS
0 6 51 Partition(array, column) 1 ALL_PAIRS
0 6 60 Partition(array, column) 1 ALL_PAIRS
0 6 69 Partition(array, column) 1 ALL_PAIRS
0 6 78 Partition(array, column) 1 ALL_PAIRS
0 15 24 Partition(array, column) 1 ALL_PAIRS
0 15 33 Partition(array, column) 1 ALL_PAIRS
0 15 42 Partition(array, column) 1 ALL_PAIRS
0 15 51 Partition(array, column) 1 ALL_PAIRS
0 15 60 Partition(array, column) 1 ALL_PAIRS
0 15 69 Partition(array, column) 1 ALL_PAIRS
0 15 78 Partition(array, column) 1 ALL_PAIRS
0 24 33 Partition(array, column) 1 ALL_PAIRS
0 24 42 Partition(array, column) 1 ALL_PAIRS
0 24 51 Partition(array, column) 1 ALL_PAIRS
0 24 60 Partition(array, column) 1 ALL_PAIRS
0 24 69 Partition(array, column) 1 ALL_PAIRS
0 24 78 Partition(array, column) 1 ALL_PAIRS
0 33 42 Partition(array, column) 1 ALL_PAIRS
0 33 51 Partition(array, column) 1 ALL_PAIRS
0 33 60 Partition(array, column) 1 ALL_PAIRS
0 33 69 Partition(array, column) 1 ALL_PAIRS
0 33 78 Partition(array, column) 1 ALL_PAIRS
0 42 51 Partition(array, column) 1 ALL_PAIRS
0 42 60 Partition(array, column) 1 ALL_PAIRS
0 42 69 Partition(array, column) 1 ALL_PAIRS
0 42 78 Partition(array, column) 1 ALL_PAIRS
0 51 60 Partition(array, column) 1 ALL_PAIRS
0 51 69 Partition(array, column) 1 ALL_PAIRS
0 51 78 Partition(array, column) 1 ALL_PAIRS
0 60 69 Partition(array, column) 1 ALL_PAIRS
0 60 78 Partition(array, column) 1 ALL_PAIRS
0 69 78 Partition(array, column) 1 ALL_PAIRS
0 7 16 Partition(array, column) 1 ALL_PAIRS
0 7 25 Partition(array, column) 1 ALL_PAIRS
0 7 34 Partition(array, column) 1 ALL_PAIRS
0 7 43 Partition(array, column) 1 ALL_PAIRS
0 7 52 Partition(array, column) 1 ALL_PAIRS
0 7 61 Partition(array, column) 1 ALL_PAIRS
0 7 70 Partition(array, column) 1 ALL_PAIRS
0 7 79 Partition(array, column) 1 ALL_PAIRS
0 16 25 Partition(array, column) 1 ALL_PAIRS
0 16 34 Partition(array, column) 1 ALL_PAIRS
0 16 43 Partition(array, column) 1 ALL_PAIRS
0 16 52 Partition(array, column) 1 ALL_PAIRS
0 16 61 Partition(array, column) 1 ALL_PAIRS
0 16 70 Partition(array, column) 1 ALL_PAIRS
0 16 79 Partition(array, column) 1 ALL_PAIRS
0 25 34 Partition(array, column) 1 ALL_PAIRS
0 25 43 Partition(array, column) 1 ALL_PAIRS
0 25 52 Partition(array, column) 1 ALL_PAIRS
0 25 61 Partition(array, column) 1 ALL_PAIRS
0 25 70 Partition(array, column) 1 ALL_PAIRS
0 25 79 Partition(array, column) 1 ALL_PAIRS
0 34 43 Partition(array, column) 1 ALL_PAIRS
0 34 52 Partition(array, column) 1 ALL_PAIRS
0 34 61 Partition(array, column) 1 ALL_PAIRS
0 34 70 Partition(array, column) 1 ALL_PAIRS
0 34 79 Partition(array, column) 1 ALL_PAIRS
0 43 52 Partition(array, column) 1 ALL_PAIRS
0 43 61 Partition(array, column) 1 ALL_PAIRS
0 43 70 Partition(array, column) 1 ALL_PAIRS
0 43 79 Partition(array, column) 1 ALL_PAIRS
0 52 61 Partition(array, column) 1 ALL_PAIRS
0 52 70 Partition(array, column) 1 ALL_PAIRS
0 52 79 Partition(array, column) 1 ALL_PAIRS
0 61 70 Partition(array, column) 1 ALL_PAIRS
0 61 79 Partition(array, column) 1 ALL_PAIRS
0 70 79 Partition(array, column) 1 ALL_PAIRS
0 8 17 Partition(array, column) 1 ALL_PAIRS
0 8 26 Partition(array, column) 1 ALL_PAIRS
0 8 35 Partition(array, column) 1 ALL_PAIRS
0 8 44 Partition(array, column) 1 ALL_PAIRS
0 8 53 Partition(array, column) 1 ALL_PAIRS
0 8 62 Partition(array, column) 1 ALL_PAIRS
0 8 71 Partition(array, column) 1 ALL_PAIRS
0 8 80 Partition(array, column) 1 ALL_PAIRS
0 17 26 Partition(array, column) 1 ALL_PAIRS
0 17 35 Partition(array, column) 1 ALL_PAIRS
0 17 44 Partition(array, column) 1 ALL_PAIRS
0 17 53 Partition(array, column) 1 ALL_PAIRS
0 17 62 Partition(array, column) 1 ALL_PAIRS
0 17 71 Partition(array, column) 1 ALL_PAIRS
0 17 80 Partition(array, column) 1 ALL_PAIRS
0 26 35 Partition(array, column) 1 ALL_PAIRS
0 26 44 Partition(array, column) 1 ALL_PAIRS
0 26 53 Partition(array, column) 1 ALL_PAIRS
0 26 62 Partition(array, column) 1 ALL_PAIRS
0 26 71 Partition(array, column) 1 ALL_PAIRS
0 26 80 Partition(array, column) 1 ALL_PAIRS
0 35 44 Partition(array, column) 1 ALL_PAIRS
0 35 53 Partition(array, column) 1 ALL_PAIRS
0 35 62 Partition(array, column) 1 ALL_PAIRS
0 35 71 Partition(array, column) 1 ALL_PAIRS
0 35 80 Partition(array, column) 1 ALL_PAIRS
0 44 53 Partition(array, column) 1 ALL_PAIRS
0 44 62 Partition(array, column) 1 ALL_PAIRS
0 44 71 Partition(array, column) 1 ALL_PAIRS
0 44 80 Partition(array, column) 1 ALL_PAIRS
0 53 62 Partition(array, column) 1 ALL_PAIRS
0 53 71 Partition(array, column) 1 ALL_PAIRS
0 53 80 Partition(array, column) 1 ALL_PAIRS
0 62 71 Partition(array, column) 1 ALL_PAIRS
0 62 80 Partition(array, column) 1 ALL_PAIRS
0 71 80 Partition(array, column) 1 ALL_PAIRS
0 0 1 InputPartition(blocks) 1 ALL_PAIRS
0 0 2 InputPartition(blocks) 1 ALL_PAIRS
0 0 9 InputPartition(blocks) 1 ALL_PAIRS
0 0 10 InputPartition(blocks) 1 ALL_PAIRS
0 0 11 InputPartition(blocks) 1 ALL_PAIRS
0 0 18 InputPartition(blocks) 1 ALL_PAIRS
0 0 19 InputPartition(blocks) 1 ALL_PAIRS
0 0 20 InputPartition(blocks) 1 ALL_PAIRS
0 1 2 InputPartition(blocks) 1 ALL_PAIRS
0 1 9 InputPartition(blocks) 1 ALL_PAIRS
0 1 10 InputPartition(blocks) 1 ALL_PAIRS
0 1 11 InputPartition(blocks) 1 ALL_PAIRS
0 1 18 InputPartition(blocks) 1 ALL_PAIRS
0 1 19 InputPartition(blocks) 1 ALL_PAIRS
0 1 20 InputPartition(blocks) 1 ALL_PAIRS
0 2 9 InputPartition(blocks) 1 ALL_PAIRS
0 2 10 InputPartition(blocks) 1 ALL_PAIRS
0 2 11 InputPartition(blocks) 1 ALL_PAIRS
0 2 18 InputPartition(blocks) 1 ALL_PAIRS
0 2 19 InputPartition(blocks) 1 ALL_PAIRS
0 2 20 InputPartition(blocks) 1 ALL_PAIRS
0 9 10 InputPartition(blocks) 1 ALL_PAIRS
0 9 11 InputPartition(blocks) 1 ALL_PAIRS
0 9 18 InputPartition(blocks) 1 ALL_PAIRS
0 9 19 InputPartition(blocks) 1 ALL_PAIRS
0 9 20 InputPartition(blocks) 1 ALL_PAIRS
0 10 11 InputPartition(blocks) 1 ALL_PAIRS
0 10 18 InputPartition(blocks) 1 ALL_PAIRS
0 10 19 InputPartition(blocks) 1 ALL_PAIRS
0 10 20 InputPartition(blocks) 1 ALL_PAIRS
0 11 18 InputPartition(blocks) 1 ALL_PAIRS
0 11 19 InputPartition(blocks) 1 ALL_PAIRS
0 11 20 InputPartition(blocks) 1 ALL_PAIRS
0 18 19 InputPartition(blocks) 1 ALL_PAIRS
0 18 20 InputPartition(blocks) 1 ALL_PAIRS
0 19 20 InputPartition(blocks) 1 ALL_PAIRS
0 3 4 InputPartition(blocks) 1 ALL_PAIRS
0 3 5 InputPartition(blocks) 1 ALL_PAIRS
0 3 12 InputPartition(blocks) 1 ALL_PAIRS
0 3 13 InputPartition(blocks) 1 ALL_PAIRS
0 3 14 InputPartition(blocks) 1 ALL_PAIRS
0 3 21 InputPartition(blocks) 1 ALL_PAIRS
0 3 22 InputPartition(blocks) 1 ALL_PAIRS
0 3 23 InputPartition(blocks) 1 ALL_PAIRS
0 4 5 InputPartition(blocks) 1 ALL_PAIRS
0 4 12 InputPartition(blocks) 1 ALL_PAIRS
0 4 13 InputPartition(blocks) 1 ALL_PAIRS
0 4 14 InputPartition(blocks) 1 ALL_PAIRS
0 4 21 InputPartition(blocks) 1 ALL_PAIRS
0 4 22 InputPartition(blocks) 1 ALL_PAIRS
0 4 23 InputPartition(blocks) 1 ALL_PAIRS
0 5 12 InputPartition(blocks) 1 ALL_PAIRS
0 5 13 InputPartition(blocks) 1 ALL_PAIRS
0 5 14 InputPartition(blocks) 1 ALL_PAIRS
0 5 21 InputPartition(blocks) 1 ALL_PAIRS
0 5 22 InputPartition(blocks) 1 ALL_PAIRS
0 5 23 InputPartition(blocks) 1 ALL_PAIRS
0 12 13 InputPartition(blocks) 1 ALL_PAIRS
0 12 14 InputPartition(blocks) 1 ALL_PAIRS
0 12 21 InputPartition(blocks) 1 ALL_PAIRS
0 12 22 InputPartition(blocks) 1 ALL_PAIRS
0 12 23 InputPartition(blocks) 1 ALL_PAIRS
0 13 14 InputPartition(blocks) 1 ALL_PAIRS
0 13 21 InputPartition(blocks) 1 ALL_PAIRS
0 13 22 InputPartition(blocks) 1 ALL_PAIRS
0 13 23 InputPartition(blocks) 1 ALL_PAIRS
0 14 21 InputPartition(blocks) 1 ALL_PAIRS
0 14 22 InputPartition(blocks) 1 ALL_PAIRS
0 14 23 InputPartition(blocks) 1 ALL_PAIRS
0 21 22 InputPartition(blocks) 1 ALL_PAIRS
0 21 23 InputPartition(blocks) 1 ALL_PAIRS
0 22 23 InputPartition(blocks) 1 ALL_PAIRS
0 6 7 InputPartition(blocks) 1 ALL_PAIRS
0 6 8 InputPartition(blocks) 1 ALL_PAIRS
0 6 15 InputPartition(blocks) 1 ALL_PAIRS
0 6 16 InputPartition(blocks) 1 ALL_PAIRS
0 6 17 InputPartition(blocks) 1 ALL_PAIRS
0 6 24 InputPartition(blocks) 1 ALL_PAIRS
0 6 25 InputPartition(blocks) 1 ALL_PAIRS
0 6 26 InputPartition(blocks) 1 ALL_PAIRS
0 7 8 InputPartition(blocks) 1 ALL_PAIRS
0 7 15 InputPartition(blocks) 1 ALL_PAIRS
0 7 16 InputPartition(blocks) 1 ALL_PAIRS
0 7 17 InputPartition(blocks) 1 ALL_PAIRS
0 7 24 InputPartition(blocks) 1 ALL_PAIRS
0 7 25 InputPartition(blocks) 1 ALL_PAIRS
0 7 26 InputPartition(blocks) 1 ALL_PAIRS
0 8 15 InputPartition(blocks) 1 ALL_PAIRS
0 8 16 InputPartition(blocks) 1 ALL_PAIRS
0 8 17 InputPartition(blocks) 1 ALL_PAIRS
0 8 24 InputPartition(blocks) 1 ALL_PAIRS
0 8 25 InputPartition(blocks) 1 ALL_PAIRS
0 8 26 InputPartition(blocks) 1 ALL_PAIRS
0 15 16 InputPartition(blocks) 1 ALL_PAIRS
0 15 17 InputPartition(blocks) 1 ALL_PAIRS
0 15 24 InputPartition(blocks) 1 ALL_PAIRS
0 15 25 InputPartition(blocks) 1 ALL_PAIRS
0 15 26 InputPartition(blocks) 1 ALL_PAIRS
0 16 17 InputPartition(blocks) 1 ALL_PAIRS
0 16 24 InputPartition(blocks) 1 ALL_PAIRS
0 16 25 InputPartition(blocks) 1 ALL_PAIRS
0 16 26 InputPartition(blocks) 1 ALL_PAIRS
0 17 24 InputPartition(blocks) 1 ALL_PAIRS
0 17 25 InputPartition(blocks) 1 ALL_PAIRS
0 17 26 InputPartition(blocks) 1 ALL_PAIRS
0 24 25 InputPartition(blocks) 1 ALL_PAIRS
0 24 26 InputPartition(blocks) 1 ALL_PAIRS
0 25 26 InputPartition(blocks) 1 ALL_PAIRS
0 27 28 InputPartition(blocks) 1 ALL_PAIRS
0 27 29 InputPartition(blocks) 1 ALL_PAIRS
0 27 36 InputPartition(blocks) 1 ALL_PAIRS
0 27 37 InputPartition(blocks) 1 ALL_PAIRS
0 27 38 InputPartition(blocks) 1 ALL_PAIRS
0 27 45 InputPartition(blocks) 1 ALL_PAIRS
0 27 46 InputPartition(blocks) 1 ALL_PAIRS
0 27 47 InputPartition(blocks) 1 ALL_PAIRS
0 28 29 InputPartition(blocks) 1 ALL_PAIRS
0 28 36 InputPartition(blocks) 1 ALL_PAIRS
0 28 37 InputPartition(blocks) 1 ALL_PAIRS
0 28 38 InputPartition(blocks) 1 ALL_PAIRS
0 28 45 InputPartition(blocks) 1 ALL_PAIRS
0 28 46 InputPartition(blocks) 1 ALL_PAIRS
0 28 47 InputPartition(blocks) 1 ALL_PAIRS
0 29 36 InputPartition(blocks) 1 ALL_PAIRS
0 29 37 InputPartition(blocks) 1 ALL_PAIRS
0 29 38 InputPartition(blocks) 1 ALL_PAIRS
0 29 45 InputPartition(blocks) 1 ALL_PAIRS
0 29 46 InputPartition(blocks) 1 ALL_PAIRS
0 29 47 InputPartition(blocks) 1 ALL_PAIRS
0 36 37 InputPartition(blocks) 1 ALL_PAIRS
0 36 38 InputPartition(blocks) 1 ALL_PAIRS
0 36 45 InputPartition(blocks) 1 ALL_PAIRS
0 36 46 InputPartition(blocks) 1 ALL_PAIRS
0 36 47 InputPartition(blocks) 1 ALL_PAIRS
0 37 38 InputPartition(blocks) 1 ALL_PAIRS
0 37 45 InputPartition(blocks) 1 ALL_PAIRS
0 37 46 InputPartition(blocks) 1 ALL_PAIRS
0 37 47 InputPartition(blocks) 1 ALL_PAIRS
0 38 45 InputPartition(blocks) 1 ALL_PAIRS
0 38 46 InputPartition(blocks) 1 ALL_PAIRS
0 38 47 InputPartition(blocks) 1 ALL_PAIRS
0 45 46 InputPartition(blocks) 1 ALL_PAIRS
0 45 47 InputPartition(blocks) 1 ALL_PAIRS
0 46 47 InputPartition(blocks) 1 ALL_PAIRS
0 30 31 InputPartition(blocks) 1 ALL_PAIRS
0 30 32 InputPartition(blocks) 1 ALL_PAIRS
0 30 39 InputPartition(blocks) 1 ALL_PAIRS
0 30 40 InputPartition(blocks) 1 ALL_PAIRS
0 30 41 InputPartition(blocks) 1 ALL_PAIRS
0 30 48 InputPartition(blocks) 1 ALL_PAIRS
0 30 49 InputPartition(blocks) 1 ALL_PAIRS
0 30 50 InputPartition(blocks) 1 ALL_PAIRS
0 31 32 InputPartition(blocks) 1 ALL_PAIRS
0 31 39 InputPartition(blocks) 1 ALL_PAIRS
0 31 40 InputPartition(blocks) 1 ALL_PAIRS
0 31 41 InputPartition(blocks) 1 ALL_PAIRS
0 31 48 InputPartition(blocks) 1 ALL_PAIRS
0 31 49 InputPartition(blocks) 1 ALL_PAIRS
0 31 50 InputPartition(blocks) 1 ALL_PAIRS
0 32 39 InputPartition(blocks) 1 ALL_PAIRS
0 32 40 InputPartition(blocks) 1 ALL_PAIRS
0 32 41 InputPartition(blocks) 1 ALL_PAIRS
0 32 48 InputPartition(blocks) 1 ALL_PAIRS
0 32 49 InputPartition(blocks) 1 ALL_PAIRS
0 32 50 InputPartition(blocks) 1 ALL_PAIRS
0 39 40 InputPartition(blocks) 1 ALL_PAIRS
0 39 41 InputPartition(blocks) 1 ALL_PAIRS
0 39 48 InputPartition(blocks) 1 ALL_PAIRS
0 39 49 InputPartition(blocks) 1 ALL_PAIRS
0 39 50 InputPartition(blocks) 1 ALL_PAIRS
0 40 41 InputPartition(blocks) 1 ALL_PAIRS
0 40 48 InputPartition(blocks) 1 ALL_PAIRS
0 40 49 InputPartition(blocks) 1 ALL_PAIRS
0 40 50 InputPartition(blocks) 1 ALL_PAIRS
0 41 48 InputPartition(blocks) 1 ALL_PAIRS
0 41 49 InputPartition(blocks) 1 ALL_PAIRS
0 41 50 InputPartition(blocks) 1 ALL_PAIRS
0 48 49 InputPartition(blocks) 1 ALL_PAIRS
0 48 50 InputPartition(blocks) 1 ALL_PAIRS
0 49 50 InputPartition(blocks) 1 ALL_PAIRS
0 33 34 InputPartition(blocks) 1 ALL_PAIRS
0 33 35 InputPartition(blocks) 1 ALL_PAIRS
0 33 42 InputPartition(blocks) 1 ALL_PAIRS
0 33 43 InputPartition(blocks) 1 ALL_PAIRS
0 33 44 InputPartition(blocks) 1 ALL_PAIRS
0 33 51 InputPartition(blocks) 1 ALL_PAIRS
0 33 52 InputPartition(blocks) 1 ALL_PAIRS
0 33 53 InputPartition(blocks) 1 ALL_PAIRS
0 34 35 InputPartition(blocks) 1 ALL_PAIRS
0 34 42 InputPartition(blocks) 1 ALL_PAIRS
0 34 43 InputPartition(blocks) 1 ALL_PAIRS
0 34 44 InputPartition(blocks) 1 ALL_PAIRS
0 34 51 InputPartition(blocks) 1 ALL_PAIRS
0 34 52 InputPartition(blocks) 1 ALL_PAIRS
0 34 53 InputPartition(blocks) 1 ALL_PAIRS
0 35 42 InputPartition(blocks) 1 ALL_PAIRS
0 35 43 InputPartition(blocks) 1 ALL_PAIRS
0 35 44 InputPartition(blocks) 1 ALL_PAIRS
0 35 51 InputPartition(blocks) 1 ALL_PAIRS
0 35 52 InputPartition(blocks) 1 ALL_PAIRS
0 35 53 InputPartition(blocks) 1 ALL_PAIRS
0 42 43 InputPartition(blocks) 1 ALL_PAIRS
0 42 44 InputPartition(blocks) 1 ALL_PAIRS
0 42 51 InputPartition(blocks) 1 ALL_PAIRS
0 42 52 InputPartition(blocks) 1 ALL_PAIRS
0 42 53 InputPartition(blocks) 1 ALL_PAIRS
0 43 44 InputPartition(blocks) 1 ALL_PAIRS
0 43 51 InputPartition(blocks) 1 ALL_PAIRS
0 43 52 InputPartition(blocks) 1 ALL_PAIRS
0 43 53 InputPartition(blocks) 1 ALL_PAIRS
0 44 51 InputPartition(blocks) 1 ALL_PAIRS
0 44 52 InputPartition(blocks) 1 ALL_PAIRS
0 44 53 InputPartition(blocks) 1 ALL_PAIRS
0 51 52 InputPartition(blocks) 1 ALL_PAIRS
0 51 53 InputPartition(blocks) 1 ALL_PAIRS
0 52 53 InputPartition(blocks) 1 ALL_PAIRS
0 54 55 InputPartition(blocks) 1 ALL_PAIRS
0 54 56 InputPartition(blocks) 1 ALL_PAIRS
0 54 63 InputPartition(blocks) 1 ALL_PAIRS
0 54 64 InputPartition(blocks) 1 ALL_PAIRS
0 54 65 InputPartition(blocks) 1 ALL_PAIRS
0 54 72 InputPartition(blocks) 1 ALL_PAIRS
0 54 73 InputPartition(blocks) 1 ALL_PAIRS
0 54 74 InputPartition(blocks) 1 ALL_PAIRS
0 55 56 InputPartition(blocks) 1 ALL_PAIRS
0 55 63 InputPartition(blocks) 1 ALL_PAIRS
0 55 64 InputPartition(blocks) 1 ALL_PAIRS
0 55 65 InputPartition(blocks) 1 ALL_PAIRS
0 55 72 InputPartition(blocks) 1 ALL_PAIRS
0 55 73 InputPartition(blocks) 1 ALL_PAIRS
0 55 74 InputPartition(blocks) 1 ALL_PAIRS
0 56 63 InputPartition(blocks) 1 ALL_PAIRS
0 56 64 InputPartition(blocks) 1 ALL_PAIRS
0 56 65 InputPartition(blocks) 1 ALL_PAIRS
0 56 72 InputPartition(blocks) 1 ALL_PAIRS
0 56 73 InputPartition(blocks) 1 ALL_PAIRS
0 56 74 InputPartition(blocks) 1 ALL_PAIRS
0 63 64 InputPartition(blocks) 1 ALL_PAIRS
0 63 65 InputPartition(blocks) 1 ALL_PAIRS
0 63 72 InputPartition(blocks) 1 ALL_PAIRS
0 63 73 InputPartition(blocks) 1 ALL_PAIRS
0 63 74 InputPartition(blocks) 1 ALL_PAIRS
0 64 65 InputPartition(blocks) 1 ALL_PAIRS
0 64 72 InputPartition(blocks) 1 ALL_PAIRS
0 64 73 InputPartition(blocks) 1 ALL_PAIRS
0 64 74 InputPartition(blocks) 1 ALL_PAIRS
0 65 72 InputPartition(blocks) 1 ALL_PAIRS
0 65 73 InputPartition(blocks) 1 ALL_PAIRS
0 65 74 InputPartition(blocks) 1 ALL_PAIRS
0 72 73 InputPartition(blocks) 1 ALL_PAIRS
0 72 74 InputPartition(blocks) 1 ALL_PAIRS
0 73 74 InputPartition(blocks) 1 ALL_PAIRS
0 57 58 InputPartition(blocks) 1 ALL_PAIRS
0 57 59 InputPartition(blocks) 1 ALL_PAIRS
0 57 66 InputPartition(blocks) 1 ALL_PAIRS
0 57 67 InputPartition(blocks) 1 ALL_PAIRS
0 57 68 InputPartition(blocks) 1 ALL_PAIRS
0 57 75 InputPartition(blocks) 1 ALL_PAIRS
0 57 76 InputPartition(blocks) 1 ALL_PAIRS
0 57 77 InputPartition(blocks) 1 ALL_PAIRS
0 58 59 InputPartition(blocks) 1 ALL_PAIRS
0 58 66 InputPartition(blocks) 1 ALL_PAIRS
0 58 67 InputPartition(blocks) 1 ALL_PAIRS
0 58 68 InputPartition(blocks) 1 ALL_PAIRS
0 58 75 InputPartition(blocks) 1 ALL_PAIRS
0 58 76 InputPartition(blocks) 1 ALL_PAIRS
0 58 77 InputPartition(blocks) 1 ALL_PAIRS
0 59 66 InputPartition(blocks) 1 ALL_PAIRS
0 59 67 InputPartition(blocks) 1 ALL_PAIRS
0 59 68 InputPartition(blocks) 1 ALL_PAIRS
0 59 75 InputPartition(blocks) 1 ALL_PAIRS
0 59 76 InputPartition(blocks) 1 ALL_PAIRS
0 59 77 InputPartition(blocks) 1 ALL_PAIRS
0 66 67 InputPartition(blocks) 1 ALL_PAIRS
0 66 68 InputPartition(blocks) 1 ALL_PAIRS
0 66 75 InputPartition(blocks) 1 ALL_PAIRS
0 66 76 InputPartition(blocks) 1 ALL_PAIRS
0 66 77 InputPartition(blocks) 1 ALL_PAIRS
0 67 68 InputPartition(blocks) 1 ALL_PAIRS
0 67 75 InputPartition(blocks) 1 ALL_PAIRS
0 67 76 InputPartition(blocks) 1 ALL_PAIRS
0 67 77 InputPartition(blocks) 1 ALL_PAIRS
0 68 75 InputPartition(blocks) 1 ALL_PAIRS
0 68 76 InputPartition(blocks) 1 ALL_PAIRS
0 68 77 InputPartition(blocks) 1 ALL_PAIRS
0 75 76 InputPartition(blocks) 1 ALL_PAIRS
0 75 77 InputPartition(blocks) 1 ALL_PAIRS
0 76 77 InputPartition(blocks) 1 ALL_PAIRS
0 60 61 InputPartition(blocks) 1 ALL_PAIRS
0 60 62 InputPartition(blocks) 1 ALL_PAIRS
0 60 69 InputPartition(blocks) 1 ALL_PAIRS
0 60 70 InputPartition(blocks) 1 ALL_PAIRS
0 60 71 InputPartition(blocks) 1 ALL_PAIRS
0 60 78 InputPartition(blocks) 1 ALL_PAIRS
0 60 79 InputPartition(blocks) 1 ALL_PAIRS
0 60 80 InputPartition(blocks) 1 ALL_PAIRS
0 61 62 InputPartition(blocks) 1 ALL_PAIRS
0 61 69 InputPartition(blocks) 1 ALL_PAIRS
0 61 70 InputPartition(blocks) 1 ALL_PAIRS
0 61 71 InputPartition(blocks) 1 ALL_PAIRS
0 61 78 InputPartition(blocks) 1 ALL_PAIRS
0 61 79 InputPartition(blocks) 1 ALL_PAIRS
0 61 80 InputPartition(blocks) 1 ALL_PAIRS
0 62 69 InputPartition(blocks) 1 ALL_PAIRS
0 62 70 InputPartition(blocks) 1 ALL_PAIRS
0 62 71 InputPartition(blocks) 1 ALL_PAIRS
0 62 78 InputPartition(blocks) 1 ALL_PAIRS
0 62 79 InputPartition(blocks) 1 ALL_PAIRS
0 62 80 InputPartition(blocks) 1 ALL_PAIRS
0 69 70 InputPartition(blocks) 1 ALL_PAIRS
0 69 71 InputPartition(blocks) 1 ALL_PAIRS
0 69 78 InputPartition(blocks) 1 ALL_PAIRS
0 69 79 InputPartition(blocks) 1 ALL_PAIRS
0 69 80 InputPartition(blocks) 1 ALL_PAIRS
0 70 71 InputPartition(blocks) 1 ALL_PAIRS
0 70 78 InputPartition(blocks) 1 ALL_PAIRS
0 70 79 InputPartition(blocks) 1 ALL_PAIRS
0 70 80 InputPartition(blocks) 1 ALL_PAIRS
0 71 78 InputPartition(blocks) 1 ALL_PAIRS
0 71 79 InputPartition(blocks) 1 ALL_PAIRS
0 71 80 InputPartition(blocks) 1 ALL_PAIRS
0 78 79 InputPartition(blocks) 1 ALL_PAIRS
0 78 80 InputPartition(blocks) 1 ALL_PAIRS
0 79 80 InputPartition(blocks) 1 ALL_PAIRS
